Date,Close
2012-12-31,35.3
2013-01-02,36.48
2013-01-03,36.18
2013-01-04,36.3
2013-01-07,35.93
2013-01-08,35.65
2013-01-09,35.76
2013-01-10,35.8
2013-01-11,35.23
2013-01-14,35.05
2013-01-15,34.84
2013-01-16,35.54
2013-01-17,35.21
2013-01-18,35.09
2013-01-22,35.91
2013-01-23,36.46
2013-01-24,36.6
2013-01-25,36.7
2013-01-28,37.3
2013-01-29,37.82
2013-01-30,37.67
2013-01-31,37.83
2013-02-01,38.86
2013-02-04,38.19
2013-02-05,38.75
2013-02-06,38.75
2013-02-07,38.64
2013-02-08,38.79
2013-02-11,39.45
2013-02-12,38.63
2013-02-13,38.87
2013-02-14,39.21
2013-02-15,38.35
2013-02-19,38.6
2013-02-20,37.57
2013-02-21,37.28
2013-02-22,38.45
2013-02-25,37.06
2013-02-26,37.69
2013-02-27,37.77
2013-02-28,38.01
2013-03-01,37.85
2013-03-04,38.07
2013-03-05,38.25
2013-03-06,38.45
2013-03-07,39.01
2013-03-08,39.58
2013-03-11,39.47
2013-03-12,39.11
2013-03-13,38.89
2013-03-14,39.02
2013-03-15,38.97
2013-03-18,38.6
2013-03-19,38.38
2013-03-20,38.3
2013-03-21,37.8
2013-03-22,37.79
2013-03-25,37.7
2013-03-26,38.44
2013-03-27,38.25
2013-03-28,38.82
2013-04-01,38.23
2013-04-02,39.0
2013-04-03,37.84
2013-04-04,37.69
2013-04-05,38.62
2013-04-08,40.09
2013-04-09,39.63
2013-04-10,40.1
2013-04-11,40.44
2013-04-12,40.13
2013-04-15,38.58
2013-04-16,39.56
2013-04-17,38.56
2013-04-18,38.34
2013-04-19,38.88
2013-04-22,38.61
2013-04-23,40.62
2013-04-24,41.6
2013-04-25,42.28
2013-04-26,40.87
2013-04-29,41.31
2013-04-30,41.42
2013-05-01,41.19
2013-05-02,42.13
2013-05-03,44.52
2013-05-06,45.48
2013-05-07,44.6
2013-05-08,44.35
2013-05-09,44.07
2013-05-10,44.18
2013-05-13,44.64
2013-05-14,46.08
2013-05-15,45.58
2013-05-16,44.91
2013-05-17,45.23
2013-05-20,44.89
2013-05-21,44.96
2013-05-22,44.31
2013-05-23,44.53
2013-05-24,44.69
2013-05-28,45.17
2013-05-29,45.52
2013-05-30,46.21
2013-05-31,44.46
2013-06-03,44.75
2013-06-04,44.1
2013-06-05,43.9
2013-06-06,44.86
2013-06-07,45.28
2013-06-10,45.95
2013-06-11,44.92
2013-06-12,44.66
2013-06-13,45.94
2013-06-14,45.38
2013-06-17,45.15
2013-06-18,45.14
2013-06-19,44.81
2013-06-20,44.27
2013-06-21,43.69
2013-06-24,42.32
2013-06-25,43.35
2013-06-26,43.62
2013-06-27,44.48
2013-06-28,44.7
2013-07-01,45.09
2013-07-02,44.89
2013-07-03,44.22
2013-07-05,45.19
2013-07-08,45.52
2013-07-09,45.78
2013-07-10,45.72
2013-07-11,45.92
2013-07-12,46.74
2013-07-15,46.7
2013-07-16,46.24
2013-07-17,46.83
2013-07-18,46.99
2013-07-19,46.88
2013-07-22,47.45
2013-07-23,46.6
2013-07-24,45.96
2013-07-25,46.5
2013-07-26,46.54
2013-07-29,46.27
2013-07-30,45.89
2013-07-31,45.51
2013-08-01,47.07
2013-08-02,48.33
2013-08-05,48.57
2013-08-06,48.06
2013-08-07,47.97
2013-08-08,48.6
2013-08-09,48.03
2013-08-12,47.75
2013-08-13,48.3
2013-08-14,48.06
2013-08-15,47.04
2013-08-16,47.1
2013-08-19,46.32
2013-08-20,46.92
2013-08-21,46.72
2013-08-22,47.15
2013-08-23,47.39
2013-08-26,47.36
2013-08-27,46.16
2013-08-28,46.41
2013-08-29,46.58
2013-08-30,46.46
2013-09-03,47.67
2013-09-04,48.29
2013-09-05,48.67
2013-09-06,48.18
2013-09-09,49.19
2013-09-10,49.42
2013-09-11,49.75
2013-09-12,49.28
2013-09-13,49.7
2013-09-16,49.69
2013-09-17,50.46
2013-09-18,50.57
2013-09-19,49.86
2013-09-20,49.95
2013-09-23,49.16
2013-09-24,49.24
2013-09-25,49.54
2013-09-26,49.45
2013-09-27,49.15
2013-09-30,48.63
2013-10-01,49.1
2013-10-02,49.22
2013-10-03,48.85
2013-10-04,49.53
2013-10-07,48.73
2013-10-08,47.7
2013-10-09,47.73
2013-10-10,49.58
2013-10-11,50.0
2013-10-14,50.23
2013-10-15,50.02
2013-10-16,51.26
2013-10-17,51.85
2013-10-18,52.3
2013-10-21,52.0
2013-10-22,52.29
2013-10-23,51.86
2013-10-24,51.8
2013-10-25,51.85
2013-10-28,51.43
2013-10-29,52.25
2013-10-30,51.97
2013-10-31,51.65
2013-11-01,48.28
2013-11-04,49.08
2013-11-05,48.29
2013-11-06,47.59
2013-11-07,47.3
2013-11-08,48.54
2013-11-11,48.84
2013-11-12,48.19
2013-11-13,48.58
2013-11-14,49.31
2013-11-15,49.3
2013-11-18,48.96
2013-11-19,48.78
2013-11-20,48.26
2013-11-21,48.92
2013-11-22,49.59
2013-11-25,49.8
2013-11-26,49.39
2013-11-27,49.65
2013-11-29,49.75
2013-12-02,49.71
2013-12-03,48.65
2013-12-04,48.94
2013-12-05,48.19
2013-12-06,49.55
2013-12-09,49.56
2013-12-10,49.3
2013-12-11,48.7
2013-12-12,49.42
2013-12-13,49.73
2013-12-16,50.28
2013-12-17,49.36
2013-12-18,50.25
2013-12-19,50.36
2013-12-20,51.03
2013-12-23,51.24
2013-12-24,51.28
2013-12-26,51.0
2013-12-27,51.18
2013-12-30,51.11
2013-12-31,51.05
2014-01-02,50.71
2014-01-03,50.92
2014-01-06,50.52
2014-01-07,51.21
2014-01-08,51.81
2014-01-09,52.11
2014-01-10,52.22
2014-01-13,51.46
2014-01-14,51.76
2014-01-15,52.11
2014-01-16,51.5
2014-01-17,50.89
2014-01-21,50.58
2014-01-22,50.29
2014-01-23,49.21
2014-01-24,47.86
2014-01-27,47.29
2014-01-28,48.46
2014-01-29,47.95
2014-01-30,48.88
2014-01-31,47.96
2014-02-03,46.88
2014-02-04,47.62
2014-02-05,47.64
2014-02-06,47.72
2014-02-07,49.01
2014-02-10,48.88
2014-02-11,49.0
2014-02-12,49.04
2014-02-13,49.59
2014-02-14,48.98
2014-02-18,50.17
2014-02-19,49.25
2014-02-20,49.22
2014-02-21,48.98
2014-02-24,49.45
2014-02-25,49.01
2014-02-26,48.72
2014-02-27,49.31
2014-02-28,49.77
2014-03-03,49.45
2014-03-04,50.25
2014-03-05,50.89
2014-03-06,51.26
2014-03-07,51.25
2014-03-10,51.02
2014-03-11,50.53
2014-03-12,49.93
2014-03-13,48.74
2014-03-14,48.59
2014-03-17,48.92
2014-03-18,49.76
2014-03-19,49.73
2014-03-20,50.38
2014-03-21,50.02
2014-03-24,49.71
2014-03-25,50.21
2014-03-26,49.7
2014-03-27,49.41
2014-03-28,49.88
2014-03-31,50.01
2014-04-01,49.97
2014-04-02,50.56
2014-04-03,50.83
2014-04-04,50.55
2014-04-07,49.63
2014-04-08,50.04
2014-04-09,51.1
2014-04-10,50.06
2014-04-11,49.4
2014-04-14,49.57
2014-04-15,49.84
2014-04-16,50.39
2014-04-17,50.82
2014-04-21,50.81
2014-04-22,51.0
2014-04-23,51.64
2014-04-24,52.49
2014-04-25,51.61
2014-04-28,52.11
2014-04-29,52.81
2014-04-30,53.13
2014-05-01,52.94
2014-05-02,52.35
2014-05-05,52.72
2014-05-06,50.54
2014-05-07,51.66
2014-05-08,52.37
2014-05-09,52.28
2014-05-12,53.38
2014-05-13,53.96
2014-05-14,53.39
2014-05-15,52.86
2014-05-16,52.5
2014-05-19,52.71
2014-05-20,52.49
2014-05-21,53.51
2014-05-22,53.54
2014-05-23,53.6
2014-05-27,53.75
2014-05-28,53.48
2014-05-29,54.18
2014-05-30,54.07
2014-06-02,54.26
2014-06-03,54.59
2014-06-04,54.87
2014-06-05,54.95
2014-06-06,55.29
2014-06-09,55.07
2014-06-10,55.01
2014-06-11,54.78
2014-06-12,54.42
2014-06-13,54.7
2014-06-16,54.98
2014-06-17,55.22
2014-06-18,55.59
2014-06-19,55.7
2014-06-20,55.58
2014-06-23,55.72
2014-06-24,55.26
2014-06-25,54.89
2014-06-26,54.89
2014-06-27,54.61
2014-06-30,54.58
2014-07-01,55.38
2014-07-02,55.25
2014-07-03,55.64
2014-07-07,55.31
2014-07-08,54.93
2014-07-09,55.07
2014-07-10,54.48
2014-07-11,54.52
2014-07-14,55.1
2014-07-15,55.05
2014-07-16,55.04
2014-07-17,54.7
2014-07-18,55.2
2014-07-21,55.11
2014-07-22,54.7
2014-07-23,55.02
2014-07-24,55.17
2014-07-25,54.16
2014-07-28,53.95
2014-07-29,53.35
2014-07-30,53.05
2014-07-31,51.98
2014-08-01,52.05
2014-08-04,52.66
2014-08-05,52.2
2014-08-06,52.5
2014-08-07,52.06
2014-08-08,52.45
2014-08-11,52.9
2014-08-12,53.35
2014-08-13,53.53
2014-08-14,54.06
2014-08-15,53.99
2014-08-18,54.48
2014-08-19,54.62
2014-08-20,54.87
2014-08-21,55.58
2014-08-22,55.33
2014-08-25,55.89
2014-08-26,56.08
2014-08-27,56.16
2014-08-28,55.73
2014-08-29,56.06
2014-09-02,55.8
2014-09-03,55.58
2014-09-04,55.23
2014-09-05,55.04
2014-09-08,55.32
2014-09-09,55.08
2014-09-10,55.35
2014-09-11,55.43
2014-09-12,55.19
2014-09-15,55.4
2014-09-16,55.62
2014-09-17,55.85
2014-09-18,56.33
2014-09-19,55.24
2014-09-22,54.93
2014-09-23,54.51
2014-09-24,54.99
2014-09-25,54.16
2014-09-26,54.52
2014-09-29,54.17
2014-09-30,54.02
