Date,Close
2012-12-31,69.27
2013-01-02,71.21
2013-01-03,71.49
2013-01-04,71.07
2013-01-07,71.86
2013-01-08,70.41
2013-01-09,70.68
2013-01-10,71.65
2013-01-11,70.74
2013-01-14,70.35
2013-01-15,70.58
2013-01-16,69.8
2013-01-17,71.02
2013-01-18,70.66
2013-01-22,70.71
2013-01-23,71.45
2013-01-24,70.64
2013-01-25,70.96
2013-01-28,70.01
2013-01-29,69.25
2013-01-30,68.43
2013-01-31,66.3
2013-02-01,65.88
2013-02-04,64.57
2013-02-05,65.14
2013-02-06,66.27
2013-02-07,66.77
2013-02-08,66.82
2013-02-11,66.66
2013-02-12,66.68
2013-02-13,66.11
2013-02-14,66.22
2013-02-15,66.4
2013-02-19,67.03
2013-02-20,66.61
2013-02-21,66.49
2013-02-22,67.32
2013-02-25,66.69
2013-02-26,66.91
2013-02-27,68.55
2013-02-28,67.97
2013-03-01,67.73
2013-03-04,67.04
2013-03-05,67.67
2013-03-06,67.68
2013-03-07,67.74
2013-03-08,68.89
2013-03-11,69.16
2013-03-12,68.77
2013-03-13,70.11
2013-03-14,69.65
2013-03-15,69.91
2013-03-18,69.69
2013-03-19,69.92
2013-03-20,69.74
2013-03-21,68.89
2013-03-22,69.29
2013-03-25,69.53
2013-03-26,70.3
2013-03-27,70.26
2013-03-28,70.51
2013-04-01,68.16
2013-04-02,67.0
2013-04-03,68.39
2013-04-04,67.69
2013-04-05,69.56
2013-04-08,69.08
2013-04-09,69.33
2013-04-10,69.46
2013-04-11,71.33
2013-04-12,70.6
2013-04-15,68.19
2013-04-16,68.39
2013-04-17,66.43
2013-04-18,65.99
2013-04-19,67.0
2013-04-22,66.37
2013-04-23,67.1
2013-04-24,71.73
2013-04-25,73.53
2013-04-26,73.3
2013-04-29,73.28
2013-04-30,73.96
2013-05-01,73.78
2013-05-02,74.46
2013-05-03,75.24
2013-05-06,75.25
2013-05-07,75.2
2013-05-08,75.42
2013-05-09,75.25
2013-05-10,75.7
2013-05-13,75.2
2013-05-14,76.64
2013-05-15,76.61
2013-05-16,76.14
2013-05-17,78.29
2013-05-20,78.6
2013-05-21,77.98
2013-05-22,77.42
2013-05-23,76.94
2013-05-24,77.34
2013-05-28,77.87
2013-05-29,77.53
2013-05-30,78.35
2013-05-31,77.1
2013-06-03,77.57
2013-06-04,77.21
2013-06-05,76.68
2013-06-06,77.85
2013-06-07,79.12
2013-06-10,78.58
2013-06-11,78.17
2013-06-12,78.3
2013-06-13,78.07
2013-06-14,78.0
2013-06-17,78.38
2013-06-18,78.85
2013-06-19,77.5
2013-06-20,76.23
2013-06-21,76.2
2013-06-24,76.48
2013-06-25,76.42
2013-06-26,77.89
2013-06-27,78.67
2013-06-28,78.33
2013-07-01,79.01
2013-07-02,78.07
2013-07-03,78.34
2013-07-05,79.42
2013-07-08,79.72
2013-07-09,79.86
2013-07-10,80.6
2013-07-11,82.45
2013-07-12,82.6
2013-07-15,83.56
2013-07-16,83.01
2013-07-17,82.93
2013-07-18,83.72
2013-07-19,84.4
2013-07-22,84.23
2013-07-23,84.03
2013-07-24,85.31
2013-07-25,85.8
2013-07-26,85.86
2013-07-29,85.02
2013-07-30,85.65
2013-07-31,85.34
2013-08-01,86.81
2013-08-02,87.49
2013-08-05,87.69
2013-08-06,87.34
2013-08-07,87.02
2013-08-08,87.02
2013-08-09,86.92
2013-08-12,85.77
2013-08-13,86.0
2013-08-14,85.29
2013-08-15,83.81
2013-08-16,83.75
2013-08-19,84.15
2013-08-20,84.11
2013-08-21,83.71
2013-08-22,84.5
2013-08-23,84.61
2013-08-26,84.24
2013-08-27,82.91
2013-08-28,82.85
2013-08-29,83.58
2013-08-30,83.25
2013-09-03,84.35
2013-09-04,84.99
2013-09-05,84.99
2013-09-06,84.57
2013-09-09,85.28
2013-09-10,86.74
2013-09-11,86.9
2013-09-12,86.63
2013-09-13,87.13
2013-09-16,88.07
2013-09-17,89.14
2013-09-18,89.39
2013-09-19,89.65
2013-09-20,88.15
2013-09-23,87.91
2013-09-24,87.93
2013-09-25,87.74
2013-09-26,88.25
2013-09-27,88.29
2013-09-30,87.52
2013-10-01,88.48
2013-10-02,87.51
2013-10-03,85.98
2013-10-04,85.91
2013-10-07,86.17
2013-10-08,84.97
2013-10-09,84.28
2013-10-10,87.41
2013-10-11,87.76
2013-10-14,87.81
2013-10-15,86.85
2013-10-16,87.55
2013-10-17,88.38
2013-10-18,88.4
2013-10-21,88.0
2013-10-22,88.16
2013-10-23,86.23
2013-10-24,87.12
2013-10-25,88.26
2013-10-28,87.65
2013-10-29,87.88
2013-10-30,86.49
2013-10-31,86.63
2013-11-01,87.15
2013-11-04,87.08
2013-11-05,87.1
2013-11-06,87.67
2013-11-07,86.8
2013-11-08,87.2
2013-11-11,87.17
2013-11-12,86.73
2013-11-13,87.08
2013-11-14,87.94
2013-11-15,88.71
2013-11-18,89.3
2013-11-19,89.81
2013-11-20,89.62
2013-11-21,91.1
2013-11-22,92.15
2013-11-25,91.68
2013-11-26,91.92
2013-11-27,92.27
2013-11-29,91.66
2013-12-02,91.22
2013-12-03,90.34
2013-12-04,89.48
2013-12-05,89.23
2013-12-06,90.79
2013-12-09,90.53
2013-12-10,90.55
2013-12-11,89.7
2013-12-12,89.89
2013-12-13,90.26
2013-12-16,90.92
2013-12-17,91.44
2013-12-18,93.55
2013-12-19,92.66
2013-12-20,93.37
2013-12-23,93.18
2013-12-24,93.77
2013-12-26,94.84
2013-12-27,95.0
2013-12-30,95.1
2013-12-31,95.55
2014-01-02,94.75
2014-01-03,94.74
2014-01-06,94.46
2014-01-07,95.26
2014-01-08,94.72
2014-01-09,95.23
2014-01-10,95.1
2014-01-13,95.01
2014-01-14,95.96
2014-01-15,95.59
2014-01-16,95.4
2014-01-17,95.47
2014-01-21,95.3
2014-01-22,99.65
2014-01-23,101.55
2014-01-24,98.31
2014-01-27,99.95
2014-01-28,100.5
2014-01-29,99.01
2014-01-30,100.49
2014-01-31,101.31
2014-02-03,98.47
2014-02-04,99.68
2014-02-05,98.88
2014-02-06,101.22
2014-02-07,104.19
2014-02-10,102.51
