Date,Close
2012-12-31,40.94
2013-01-02,41.34
2013-01-03,42.33
2013-01-04,41.97
2013-01-07,42.12
2013-01-08,42.18
2013-01-09,42.59
2013-01-10,42.78
2013-01-11,43.23
2013-01-14,43.34
2013-01-15,42.87
2013-01-16,42.54
2013-01-17,42.75
2013-01-18,42.98
2013-01-22,43.2
2013-01-23,42.82
2013-01-24,43.0
2013-01-25,43.46
2013-01-28,42.93
2013-01-29,43.66
2013-01-30,43.5
2013-01-31,43.25
2013-02-01,41.83
2013-02-04,40.85
2013-02-05,41.43
2013-02-06,41.09
2013-02-07,41.0
2013-02-08,41.18
2013-02-11,41.38
2013-02-12,41.45
2013-02-13,41.15
2013-02-14,41.19
2013-02-15,41.42
2013-02-19,42.22
2013-02-20,42.66
2013-02-21,42.5
2013-02-22,42.97
2013-02-25,42.52
2013-02-26,42.42
2013-02-27,42.97
2013-02-28,42.73
2013-03-01,42.63
2013-03-04,43.34
2013-03-05,43.25
2013-03-06,43.68
2013-03-07,43.27
2013-03-08,42.97
2013-03-11,43.66
2013-03-12,45.04
2013-03-13,44.59
2013-03-14,44.27
2013-03-15,44.09
2013-03-18,43.63
2013-03-19,43.7
2013-03-20,44.12
2013-03-21,43.79
2013-03-22,43.9
2013-03-25,43.69
2013-03-26,44.39
2013-03-27,44.1
2013-03-28,44.2
2013-04-01,44.35
2013-04-02,44.91
2013-04-03,45.36
2013-04-04,45.32
2013-04-05,45.13
2013-04-08,45.48
2013-04-09,45.51
2013-04-10,46.84
2013-04-11,47.21
2013-04-12,47.11
2013-04-15,46.46
2013-04-16,46.96
2013-04-17,46.76
2013-04-18,46.56
2013-04-19,47.49
2013-04-22,47.92
2013-04-23,48.63
2013-04-24,47.95
2013-04-25,47.35
2013-04-26,47.87
2013-04-29,47.82
2013-04-30,47.0
2013-05-01,45.69
2013-05-02,45.73
2013-05-03,45.67
2013-05-06,44.98
2013-05-07,45.27
2013-05-08,44.99
2013-05-09,45.49
2013-05-10,45.95
2013-05-13,46.17
2013-05-14,46.65
2013-05-15,46.73
2013-05-16,46.37
2013-05-17,45.99
2013-05-20,45.21
2013-05-21,47.33
2013-05-22,46.71
2013-05-23,47.33
2013-05-24,47.16
2013-05-28,47.62
2013-05-29,46.87
2013-05-30,47.07
2013-05-31,46.7
2013-06-03,48.45
2013-06-04,49.44
2013-06-05,48.73
2013-06-06,48.6
2013-06-07,48.19
2013-06-10,48.46
2013-06-11,47.56
2013-06-12,47.25
2013-06-13,47.9
2013-06-14,47.95
2013-06-17,47.8
2013-06-18,47.75
2013-06-19,47.58
2013-06-20,46.31
2013-06-21,47.0
2013-06-24,46.41
2013-06-25,46.23
2013-06-26,46.69
2013-06-27,47.28
2013-06-28,46.45
2013-07-01,46.32
2013-07-02,46.55
2013-07-03,46.55
2013-07-05,47.16
2013-07-08,47.41
2013-07-09,47.62
2013-07-10,47.96
2013-07-11,48.31
2013-07-12,48.54
2013-07-15,48.52
2013-07-16,48.23
2013-07-17,48.13
2013-07-18,47.4
2013-07-19,47.79
2013-07-22,47.72
2013-07-23,47.93
2013-07-24,47.77
2013-07-25,48.17
2013-07-26,48.49
2013-07-29,48.34
2013-07-30,48.05
2013-07-31,48.17
2013-08-01,48.58
2013-08-02,48.54
2013-08-05,48.53
2013-08-06,48.44
2013-08-07,48.55
2013-08-08,48.47
2013-08-09,48.39
2013-08-12,48.47
2013-08-13,48.43
2013-08-14,48.57
2013-08-15,47.97
2013-08-16,47.7
2013-08-19,47.58
2013-08-20,47.56
2013-08-21,47.46
2013-08-22,47.81
2013-08-23,47.73
2013-08-26,47.62
2013-08-27,47.11
2013-08-28,47.09
2013-08-29,47.1
2013-08-30,47.29
2013-09-03,47.21
2013-09-04,47.68
2013-09-05,47.51
2013-09-06,47.49
2013-09-09,47.74
2013-09-10,47.98
2013-09-11,48.14
2013-09-12,47.85
2013-09-13,47.79
2013-09-16,48.19
2013-09-17,48.01
2013-09-18,48.4
2013-09-19,48.26
2013-09-20,48.01
2013-09-23,47.68
2013-09-24,47.53
2013-09-25,47.67
2013-09-26,47.68
2013-09-27,47.79
2013-09-30,47.61
2013-10-01,48.74
2013-10-02,48.37
2013-10-03,48.36
2013-10-04,48.23
2013-10-07,47.89
2013-10-08,47.75
2013-10-09,47.27
2013-10-10,47.49
2013-10-11,47.29
2013-10-14,46.75
2013-10-15,46.57
2013-10-16,47.17
2013-10-17,47.11
2013-10-18,46.61
2013-10-21,46.51
2013-10-22,46.47
2013-10-23,46.56
2013-10-24,46.22
2013-10-25,46.54
2013-10-28,45.35
2013-10-29,45.58
2013-10-30,45.24
2013-10-31,45.09
2013-11-01,45.23
2013-11-04,45.72
2013-11-05,45.36
2013-11-06,45.96
2013-11-07,45.82
2013-11-08,46.8
2013-11-11,47.0
2013-11-12,47.59
2013-11-13,47.34
2013-11-14,47.82
2013-11-15,48.07
2013-11-18,48.01
2013-11-19,48.07
2013-11-20,48.13
2013-11-21,48.62
2013-11-22,48.94
2013-11-25,49.66
2013-11-26,49.58
2013-11-27,49.83
2013-11-29,49.83
2013-12-02,50.18
2013-12-03,49.76
2013-12-04,49.31
2013-12-05,48.81
2013-12-06,49.39
2013-12-09,49.56
2013-12-10,49.43
2013-12-11,48.95
2013-12-12,48.32
2013-12-13,48.38
2013-12-16,48.09
2013-12-17,47.9
2013-12-18,48.9
2013-12-19,48.79
2013-12-20,49.32
2013-12-23,49.36
2013-12-24,49.41
2013-12-26,49.72
2013-12-27,49.79
2013-12-30,49.94
2013-12-31,50.05
2014-01-02,49.49
2014-01-03,49.73
2014-01-06,49.74
2014-01-07,50.11
2014-01-08,49.79
2014-01-09,49.52
2014-01-10,49.88
2014-01-13,53.12
2014-01-14,53.0
2014-01-15,52.52
2014-01-16,52.5
2014-01-17,51.95
2014-01-21,51.83
2014-01-22,51.35
2014-01-23,51.6
2014-01-24,51.98
2014-01-27,52.53
2014-01-28,52.87
2014-01-29,52.21
2014-01-30,53.51
2014-01-31,52.97
2014-02-03,52.08
2014-02-04,53.51
2014-02-05,53.53
2014-02-06,53.77
2014-02-07,54.77
2014-02-10,54.89
2014-02-11,55.7
2014-02-12,55.0
2014-02-13,55.1
2014-02-14,55.44
2014-02-18,55.69
2014-02-19,55.04
2014-02-20,55.81
2014-02-21,56.03
2014-02-24,56.18
2014-02-25,55.91
2014-02-26,56.27
2014-02-27,56.66
2014-02-28,56.99
2014-03-03,56.42
2014-03-04,57.06
2014-03-05,56.88
2014-03-06,57.26
2014-03-07,57.47
2014-03-10,57.32
2014-03-11,56.69
2014-03-12,56.81
2014-03-13,55.79
2014-03-14,55.7
2014-03-17,56.26
2014-03-18,56.36
2014-03-19,55.99
2014-03-20,55.59
2014-03-21,54.66
2014-03-24,53.78
2014-03-25,55.19
2014-03-26,56.02
2014-03-27,55.73
2014-03-28,55.98
2014-03-31,56.77
2014-04-01,56.37
2014-04-02,56.46
2014-04-03,56.21
2014-04-04,56.12
2014-04-07,55.19
2014-04-08,55.04
2014-04-09,57.1
2014-04-10,55.85
2014-04-11,55.92
2014-04-14,55.57
2014-04-15,56.05
2014-04-16,56.26
2014-04-17,56.47
2014-04-21,57.25
2014-04-22,57.77
2014-04-23,57.5
2014-04-24,57.53
2014-04-25,57.24
2014-04-28,56.68
2014-04-29,58.72
2014-04-30,58.56
2014-05-01,59.62
2014-05-02,58.22
2014-05-05,58.63
2014-05-06,57.11
2014-05-07,55.84
2014-05-08,54.83
2014-05-09,55.21
2014-05-12,55.29
2014-05-13,55.75
2014-05-14,56.37
2014-05-15,55.89
2014-05-16,55.87
2014-05-19,56.35
2014-05-20,56.0
2014-05-21,56.58
2014-05-22,56.49
2014-05-23,56.81
2014-05-27,56.69
2014-05-28,56.4
2014-05-29,57.7
2014-05-30,57.86
2014-06-02,57.93
2014-06-03,57.91
2014-06-04,57.93
2014-06-05,58.1
2014-06-06,57.85
2014-06-09,57.94
2014-06-10,58.49
2014-06-11,58.81
2014-06-12,58.3
2014-06-13,58.24
2014-06-16,58.07
2014-06-17,58.06
2014-06-18,58.41
2014-06-19,58.3
2014-06-20,58.92
2014-06-23,58.5
2014-06-24,57.92
2014-06-25,58.86
2014-06-26,58.53
2014-06-27,57.53
2014-06-30,57.85
2014-07-01,58.51
2014-07-02,59.05
2014-07-03,59.2
2014-07-07,58.52
2014-07-08,58.17
2014-07-09,58.55
2014-07-10,58.58
2014-07-11,58.44
2014-07-14,58.18
2014-07-15,57.91
2014-07-16,58.15
2014-07-17,57.6
2014-07-18,58.34
2014-07-21,58.0
2014-07-22,58.43
2014-07-23,58.11
2014-07-24,58.21
2014-07-25,58.15
2014-07-28,57.97
2014-07-29,58.58
2014-07-30,58.08
2014-07-31,56.74
2014-08-01,56.8
2014-08-04,57.06
2014-08-05,56.03
2014-08-06,55.93
2014-08-07,55.64
2014-08-08,56.55
2014-08-11,56.66
2014-08-12,57.03
2014-08-13,57.85
2014-08-14,58.78
2014-08-15,58.61
2014-08-18,58.42
2014-08-19,58.91
2014-08-20,59.48
2014-08-21,58.85
2014-08-22,59.17
2014-08-25,59.73
2014-08-26,60.2
2014-08-27,60.28
2014-08-28,60.0
2014-08-29,60.11
2014-09-02,59.79
2014-09-03,60.48
2014-09-04,60.08
2014-09-05,61.18
2014-09-08,61.05
2014-09-09,60.56
2014-09-10,60.76
2014-09-11,60.1
2014-09-12,59.55
2014-09-15,59.52
2014-09-16,59.99
2014-09-17,59.88
2014-09-18,60.31
2014-09-19,60.49
2014-09-22,60.58
2014-09-23,60.28
2014-09-24,60.36
2014-09-25,59.64
2014-09-26,59.39
2014-09-29,59.41
2014-09-30,59.28
2014-10-01,58.71
2014-10-02,58.85
2014-10-03,59.9
2014-10-06,59.58
2014-10-07,58.46
2014-10-08,60.18
2014-10-09,59.21
2014-10-10,58.66
2014-10-13,56.14
2014-10-14,56.33
2014-10-15,54.73
2014-10-16,53.43
2014-10-17,54.02
2014-10-20,54.05
2014-10-21,55.13
2014-10-22,55.51
2014-10-23,56.63
2014-10-24,57.61
2014-10-27,56.45
2014-10-28,55.85
2014-10-29,56.2
2014-10-30,57.31
2014-10-31,57.94
2014-11-03,58.92
2014-11-04,59.37
2014-11-05,59.57
2014-11-06,59.26
2014-11-07,59.34
2014-11-10,58.81
2014-11-11,59.37
2014-11-12,59.31
2014-11-13,59.54
2014-11-14,59.07
2014-11-17,59.46
2014-11-18,59.89
2014-11-19,59.64
2014-11-20,59.38
2014-11-21,59.66
2014-11-24,59.25
2014-11-25,59.34
2014-11-26,59.75
2014-11-28,60.4
2014-12-01,60.52
2014-12-02,60.78
2014-12-03,60.58
2014-12-04,60.92
2014-12-05,61.49
2014-12-08,61.88
2014-12-09,60.01
2014-12-10,59.98
2014-12-11,59.34
2014-12-12,57.72
2014-12-15,56.95
2014-12-16,56.8
2014-12-17,57.63
2014-12-18,58.98
2014-12-19,59.58
2014-12-22,58.96
2014-12-23,57.21
2014-12-24,57.46
2014-12-26,57.78
2014-12-29,57.73
2014-12-30,57.65
2014-12-31,56.79
2015-01-02,57.19
2015-01-05,58.04
2015-01-06,60.32
2015-01-07,61.61
2015-01-08,62.85
2015-01-09,62.56
2015-01-12,62.3
2015-01-13,62.19
2015-01-14,62.64
2015-01-15,61.88
2015-01-16,63.03
2015-01-20,62.61
2015-01-21,62.16
2015-01-22,62.59
2015-01-23,62.49
2015-01-26,62.82
2015-01-27,62.56
2015-01-28,61.45
2015-01-29,62.09
2015-01-30,60.28
2015-02-02,60.88
