Date,Close
2012-12-31,30.89
2013-01-02,32.31
2013-01-03,31.89
2013-01-04,31.82
2013-01-07,31.92
2013-01-08,31.55
2013-01-09,32.0
2013-01-10,32.43
2013-01-11,32.42
2013-01-14,32.34
2013-01-15,32.28
2013-01-16,32.51
2013-01-17,33.15
2013-01-18,33.52
2013-01-22,33.46
2013-01-23,33.08
2013-01-24,33.09
2013-01-25,32.8
2013-01-28,33.04
2013-01-29,32.67
2013-01-30,32.82
2013-01-31,33.08
2013-02-01,33.72
2013-02-04,33.27
2013-02-05,33.75
2013-02-06,33.56
2013-02-07,33.42
2013-02-08,34.28
2013-02-11,33.69
2013-02-12,33.56
2013-02-13,33.72
2013-02-14,33.79
2013-02-15,33.59
2013-02-19,33.94
2013-02-20,33.06
2013-02-21,32.48
2013-02-22,34.18
2013-02-25,33.73
2013-02-26,33.76
2013-02-27,34.29
2013-02-28,34.43
2013-03-01,34.52
2013-03-04,34.56
2013-03-05,35.0
2013-03-06,35.14
2013-03-07,35.2
2013-03-08,35.29
2013-03-11,35.52
2013-03-12,35.62
2013-03-13,35.29
2013-03-14,35.38
2013-03-15,35.08
2013-03-18,34.62
2013-03-19,34.66
2013-03-20,35.06
2013-03-21,34.29
2013-03-22,34.46
2013-03-25,34.48
2013-03-26,35.1
2013-03-27,35.08
2013-03-28,35.48
2013-04-01,35.01
2013-04-02,34.77
2013-04-03,34.15
2013-04-04,34.49
2013-04-05,34.2
2013-04-08,35.07
2013-04-09,35.16
2013-04-10,35.76
2013-04-11,35.69
2013-04-12,35.85
2013-04-15,35.27
2013-04-16,35.74
2013-04-17,34.21
2013-04-18,33.92
2013-04-19,34.25
2013-04-22,34.81
2013-04-23,35.7
2013-04-24,36.01
2013-04-25,36.11
2013-04-26,35.74
2013-04-29,35.97
2013-04-30,36.21
2013-05-01,36.41
2013-05-02,36.7
2013-05-03,37.01
2013-05-06,37.04
2013-05-07,37.04
2013-05-08,37.09
2013-05-09,37.01
2013-05-10,37.04
2013-05-13,36.54
2013-05-14,36.51
2013-05-15,36.81
2013-05-16,36.6
2013-05-17,36.77
2013-05-20,36.63
2013-05-21,36.6
2013-05-22,36.01
2013-05-23,35.99
2013-05-24,35.99
2013-05-28,36.2
2013-05-29,36.09
2013-05-30,36.47
2013-05-31,35.91
2013-06-03,36.03
2013-06-04,36.64
2013-06-05,35.87
2013-06-06,35.67
2013-06-07,36.18
2013-06-10,36.62
2013-06-11,35.26
2013-06-12,34.79
2013-06-13,35.48
2013-06-14,35.48
2013-06-17,35.78
2013-06-18,36.12
2013-06-19,35.71
2013-06-20,34.63
2013-06-21,34.95
2013-06-24,34.19
2013-06-25,35.02
2013-06-26,34.96
2013-06-27,34.85
2013-06-28,34.85
2013-07-01,35.04
2013-07-02,35.13
2013-07-03,35.47
2013-07-05,36.0
2013-07-08,35.69
2013-07-09,36.24
2013-07-10,36.59
2013-07-11,37.17
2013-07-12,37.49
2013-07-15,37.79
2013-07-16,37.82
2013-07-17,37.9
2013-07-18,37.6
2013-07-19,37.26
2013-07-22,37.42
2013-07-23,38.93
2013-07-24,38.93
2013-07-25,39.25
2013-07-26,39.11
2013-07-29,38.59
2013-07-30,38.76
2013-07-31,39.18
2013-08-01,39.82
2013-08-02,39.94
2013-08-05,39.86
2013-08-06,39.73
2013-08-07,39.65
2013-08-08,39.65
2013-08-09,39.78
2013-08-12,39.71
2013-08-13,39.76
2013-08-14,39.17
2013-08-15,38.65
2013-08-16,38.74
2013-08-19,38.44
2013-08-20,38.75
2013-08-21,38.45
2013-08-22,38.82
2013-08-23,39.07
2013-08-26,39.19
2013-08-27,38.25
2013-08-28,38.43
2013-08-29,38.61
2013-08-30,38.2
2013-09-03,38.64
2013-09-04,39.37
2013-09-05,39.48
2013-09-06,39.18
2013-09-09,39.75
2013-09-10,40.31
2013-09-11,40.03
2013-09-12,39.91
2013-09-13,40.28
2013-09-16,40.45
2013-09-17,40.73
2013-09-18,40.85
2013-09-19,40.8
2013-09-20,40.52
2013-09-23,40.47
2013-09-24,40.31
2013-09-25,40.32
2013-09-26,40.38
2013-09-27,40.16
2013-09-30,40.29
2013-10-01,40.4
2013-10-02,40.26
2013-10-03,40.22
2013-10-04,39.93
2013-10-07,39.86
2013-10-08,39.24
2013-10-09,39.29
2013-10-10,40.12
2013-10-11,40.38
2013-10-14,40.55
2013-10-15,40.25
2013-10-16,40.75
2013-10-17,40.65
2013-10-18,40.71
2013-10-21,40.99
2013-10-22,40.28
2013-10-23,39.73
2013-10-24,39.88
2013-10-25,40.23
2013-10-28,41.01
2013-10-29,41.76
2013-10-30,41.72
2013-10-31,42.09
2013-11-01,42.03
2013-11-04,41.99
2013-11-05,41.9
2013-11-06,42.14
2013-11-07,41.65
2013-11-08,41.98
2013-11-11,41.79
2013-11-12,41.85
2013-11-13,42.39
2013-11-14,42.63
2013-11-15,42.55
2013-11-18,42.44
2013-11-19,42.15
2013-11-20,41.93
2013-11-21,42.44
2013-11-22,42.64
2013-11-25,42.55
2013-11-26,42.7
2013-11-27,42.52
2013-11-29,43.0
2013-12-02,42.81
2013-12-03,42.84
2013-12-04,42.43
2013-12-05,42.66
2013-12-06,43.49
2013-12-09,43.58
2013-12-10,43.41
2013-12-11,42.81
2013-12-12,42.42
2013-12-13,41.95
2013-12-16,42.29
2013-12-17,42.43
2013-12-18,43.1
2013-12-19,42.46
2013-12-20,42.84
2013-12-23,43.36
2013-12-24,43.43
2013-12-26,43.59
2013-12-27,43.67
2013-12-30,43.9
2013-12-31,43.91
2014-01-02,43.1
2014-01-03,43.29
2014-01-06,42.93
2014-01-07,42.7
2014-01-08,43.29
2014-01-09,43.06
2014-01-10,43.11
2014-01-13,42.24
2014-01-14,43.34
2014-01-15,43.54
2014-01-16,43.37
2014-01-17,43.45
2014-01-21,43.85
2014-01-22,44.61
2014-01-23,44.09
2014-01-24,42.95
2014-01-27,42.64
2014-01-28,42.9
2014-01-29,42.4
2014-01-30,42.69
2014-01-31,42.4
2014-02-03,41.5
2014-02-04,40.89
2014-02-05,40.97
2014-02-06,41.23
2014-02-07,41.95
2014-02-10,42.36
2014-02-11,43.13
2014-02-12,43.3
2014-02-13,43.74
2014-02-14,43.86
2014-02-18,44.01
2014-02-19,43.93
2014-02-20,44.2
2014-02-21,44.15
2014-02-24,44.45
2014-02-25,44.47
2014-02-26,44.63
2014-02-27,44.78
2014-02-28,44.96
2014-03-03,44.58
2014-03-04,45.26
2014-03-05,45.18
2014-03-06,45.68
2014-03-07,45.85
2014-03-10,45.87
2014-03-11,45.67
2014-03-12,46.43
2014-03-13,44.99
2014-03-14,44.31
2014-03-17,45.27
2014-03-18,45.4
2014-03-19,45.52
2014-03-20,46.95
2014-03-21,47.15
2014-03-24,46.57
2014-03-25,46.69
2014-03-26,46.39
2014-03-27,46.08
2014-03-28,46.64
2014-03-31,47.16
2014-04-01,47.53
2014-04-02,47.62
2014-04-03,47.69
2014-04-04,46.34
2014-04-07,46.25
2014-04-08,46.77
2014-04-09,47.24
2014-04-10,45.53
2014-04-11,44.98
2014-04-14,45.32
2014-04-15,45.81
2014-04-16,45.21
